date,state,fips,cases
3/17/20,North Dakota,38,5
3/17/20,Ohio,39,67
3/17/20,Oklahoma,40,18
3/17/20,Oregon,41,66
3/17/20,Pennsylvania,42,101
3/17/20,Puerto Rico,72,5
3/17/20,Rhode Island,44,23
3/17/20,South Carolina,45,47
3/17/20,South Dakota,46,11
3/17/20,Tennessee,47,73
3/17/20,Texas,48,106
3/17/20,Utah,49,51
3/17/20,Vermont,50,14
3/17/20,Virgin Islands,78,2
3/17/20,Virginia,51,67
3/17/20,Washington,53,908
3/17/20,West Virginia,54,1
3/17/20,Wisconsin,55,72
3/17/20,Wyoming,56,15
3/18/20,Alabama,1,51
3/18/20,Alaska,2,9
3/18/20,Arizona,4,28
3/18/20,Arkansas,5,33
3/18/20,California,6,893
3/18/20,Colorado,8,216
3/18/20,Connecticut,9,96
3/18/20,Delaware,10,26
3/18/20,District of Columbia,11,36
3/18/20,Florida,12,326
3/18/20,Georgia,13,193
3/18/20,Guam,66,8
3/18/20,Hawaii,15,16
3/18/20,Idaho,16,11
3/18/20,Illinois,17,286
3/18/20,Indiana,18,39
3/18/20,Iowa,19,38
3/18/20,Kansas,20,22
3/18/20,Kentucky,21,35
3/18/20,Louisiana,22,280
3/18/20,Maine,23,43
3/18/20,Maryland,24,85
3/18/20,Massachusetts,25,256
3/18/20,Michigan,26,80
3/18/20,Minnesota,27,77
3/18/20,Mississippi,28,34
3/18/20,Missouri,29,21
3/18/20,Montana,30,12
3/18/20,Nebraska,31,43
3/18/20,Nevada,32,82
3/18/20,New Hampshire,33,39
3/18/20,New Jersey,34,427
3/18/20,New Mexico,35,28
3/18/20,New York,36,2387
3/18/20,North Carolina,37,66
3/18/20,North Dakota,38,7
3/18/20,Ohio,39,90
3/18/20,Oklahoma,40,29
3/18/20,Oregon,41,74
3/18/20,Pennsylvania,42,139
3/18/20,Puerto Rico,72,5
3/18/20,Rhode Island,44,33
3/18/20,South Carolina,45,60
3/18/20,South Dakota,46,11
3/18/20,Tennessee,47,98
3/18/20,Texas,48,166
3/18/20,Utah,49,65
3/18/20,Vermont,50,19
3/18/20,Virgin Islands,78,3
3/18/20,Virginia,51,78
3/18/20,Washington,53,1026
3/18/20,West Virginia,54,2
3/18/20,Wisconsin,55,106
3/18/20,Wyoming,56,17
3/19/20,Alabama,1,78
3/19/20,Alaska,2,12
3/19/20,Arizona,4,47
3/19/20,Arkansas,5,62
3/19/20,California,6,1067
3/19/20,Colorado,8,278
3/19/20,Connecticut,9,159
3/19/20,Delaware,10,30
3/19/20,District of Columbia,11,39
3/19/20,Florida,12,434
3/19/20,Georgia,13,282
